,assetlongdescription_entity_llms,assetlongdescription_entity_llms_left_0,assetlongdescription_entity_llms_right_0,assetlongdescription_entity_llms_left_1,assetlongdescription_entity_llms_right_1,assetlongdescription_entity_llms_left_2,assetlongdescription_entity_llms_right_2
260,"['Gas Turbine - Static Starter - Micro-Processor Control', 'Electrical Asset', 'Gas Turbine Static Starter', 'Micro-Processor Control', 'Terminal Boards', 'Wiring', 'Connections', 'Circuit Boards', 'Power Supplies', 'Card Holders', 'Relays', 'Line Filters', 'Circuit Breakers', 'Control Power Transformer', 'Fuses', 'Generator', 'Wiring from the disconnect switches to the exciter and generator collector rings', 'Collector rings with associated brushes and rigging', 'Protective Relays (Current & Voltage)', 'Supply breakers to isolation transformer', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Generator Tachometer', 'Turning gear, including motor, clutch and coupling (refer to', 'Cooling water supply/fill source and piping up to the Static Starter', 'Side mounted room HVAC units', 'Power source supply and controls to the cooling water system and the isolation transformer', 'All electrical connections to control room and gas turbine generator and exciter.']","['Terminal Boards', 'Power Supplies', 'Generator Tachometer', 'Wiring from the disconnect switches to the exciter and generator collector rings', 'Line Filters', 'Gas Turbine - Static Starter - Micro-Processor Control', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Control Power Transformer', 'Circuit Breakers', 'All electrical connections to control room and gas turbine generator and exciter.', 'Circuit Boards', 'Cooling water supply/fill source and piping up to the Static Starter', 'Side mounted room HVAC units', 'Relays']","['Turning gear, including motor, clutch and coupling (refer to', 'Card Holders', 'Supply breakers to isolation transformer', 'Connections', 'Gas Turbine Static Starter', 'Collector rings with associated brushes and rigging', 'Micro-Processor Control', 'Generator', 'Electrical Asset', 'Protective Relays (Current & Voltage)', 'Fuses', 'Wiring', 'Power source supply and controls to the cooling water system and the isolation transformer']","['Line Filters', 'Power Supplies', 'Collector rings with associated brushes and rigging', 'Power source supply and controls to the cooling water system and the isolation transformer', 'Cooling water supply/fill source and piping up to the Static Starter', 'Gas Turbine Static Starter', 'Card Holders', 'Generator Tachometer', 'Protective Relays (Current & Voltage)', 'Supply breakers to isolation transformer', 'Generator', 'Turning gear, including motor, clutch and coupling (refer to', 'Wiring from the disconnect switches to the exciter and generator collector rings', 'Micro-Processor Control', 'Connections', 'All electrical connections to control room and gas turbine generator and exciter.']","['Gas Turbine - Static Starter - Micro-Processor Control', 'Circuit Boards', 'Circuit Breakers', 'Fuses', 'Terminal Boards', 'Relays', 'Electrical Asset', 'Side mounted room HVAC units', 'Wiring', 'Control Power Transformer', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to']","['Generator Tachometer', 'Fuses', 'Collector rings with associated brushes and rigging', 'Wiring from the disconnect switches to the exciter and generator collector rings', 'Gas Turbine Static Starter', 'Electrical Asset', 'Supply breakers to isolation transformer', 'Relays', 'Circuit Breakers', 'Cooling water supply/fill source and piping up to the Static Starter', 'Micro-Processor Control', 'Protective Relays (Current & Voltage)', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Line Filters', 'Power Supplies', 'Side mounted room HVAC units', 'Card Holders']","['Generator', 'Connections', 'Wiring', 'Terminal Boards', 'Power source supply and controls to the cooling water system and the isolation transformer', 'Control Power Transformer', 'Turning gear, including motor, clutch and coupling (refer to', 'Gas Turbine - Static Starter - Micro-Processor Control', 'All electrical connections to control room and gas turbine generator and exciter.', 'Circuit Boards']"
261,"['Gas Turbine - Static Starter - Static Frequency Converter (SFC)', 'Electrical Asset', 'Static Start Device (SSD)', 'Thyristors/SCRs', 'Heat Sinks', 'Cooling Fans', 'Backplane', 'Current Transformers', 'Filter Resistors', 'MOV', 'Wiring and Connections', 'Piping and Connections', 'DC Link Reactor', 'Enclosure', 'Heater', 'Thermostat', 'Wiring & Connections', 'Grounding', 'Filters - Cooling (SSD)', 'Cooling Fans', 'Motors and Controls', 'Generator', 'Wiring from the disconnect switches to the exciter and generator collector rings, collector rings with associated brushes and rigging', 'Protective Relays (Current & Voltage)', 'Supply breakers to isolation transformer', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Generator Tachometer', 'Turning gear, including motor, clutch and coupling (refer to', 'Cooling water supply/fill source and piping up to the Static Starter', 'Side mounted room HVAC units', 'Power source supply and controls to the cooling water system and the isolation transformer', 'All electrical connections to control room and gas turbine generator and exciter.']","['Wiring from the disconnect switches to the exciter and generator collector rings, collector rings with associated brushes and rigging', 'Power source supply and controls to the cooling water system and the isolation transformer']","['All electrical connections to control room and gas turbine generator and exciter.', 'Thyristors/SCRs', 'Static Start Device (SSD)', 'Motors and Controls', 'Gas Turbine - Static Starter - Static Frequency Converter (SFC)', 'Current Transformers', 'Turning gear, including motor, clutch and coupling (refer to', 'Heat Sinks', 'Protective Relays (Current & Voltage)', 'Heater', 'Cooling Fans', 'Generator Tachometer', 'Filters - Cooling (SSD)', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Wiring and Connections', 'Side mounted room HVAC units', 'Generator', 'Supply breakers to isolation transformer', 'Filter Resistors', 'Wiring & Connections', 'Backplane', 'DC Link Reactor', 'Grounding', 'Enclosure', 'Electrical Asset', 'MOV', 'Cooling Fans', 'Cooling water supply/fill source and piping up to the Static Starter', 'Piping and Connections', 'Thermostat']","['Heater', 'Wiring & Connections', 'Heat Sinks', 'Power source supply and controls to the cooling water system and the isolation transformer', 'Static Start Device (SSD)', 'Protective Relays (Current & Voltage)', 'Side mounted room HVAC units', 'Wiring from the disconnect switches to the exciter and generator collector rings, collector rings with associated brushes and rigging', 'Filters - Cooling (SSD)', 'Cooling water supply/fill source and piping up to the Static Starter', 'MOV', 'Motors and Controls', 'DC Link Reactor', 'Grounding', 'Thermostat', 'Supply breakers to isolation transformer', 'Electrical Asset', 'Piping and Connections', 'Thyristors/SCRs', 'Wiring and Connections', 'Generator', 'Cooling Fans', 'Backplane', 'Generator Tachometer', 'Current Transformers', 'Cooling Fans', 'Enclosure', 'Gas Turbine - Static Starter - Static Frequency Converter (SFC)', 'Filter Resistors', 'All electrical connections to control room and gas turbine generator and exciter.']","['Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Turning gear, including motor, clutch and coupling (refer to']","['Backplane', 'Piping and Connections', 'Filter Resistors']","['DC Link Reactor', 'Wiring from the disconnect switches to the exciter and generator collector rings, collector rings with associated brushes and rigging', 'Wiring & Connections', 'Gas Turbine - Static Starter - Static Frequency Converter (SFC)', 'Side mounted room HVAC units', 'Power source supply and controls to the cooling water system and the isolation transformer', 'Heat Sinks', 'Protective Relays (Current & Voltage)', 'Current Transformers', 'Cooling water supply/fill source and piping up to the Static Starter', 'Cooling Fans', 'Heater', 'Excitation Voltage Controller (For the Generator Exciter & Voltage Regulator refer to', 'Wiring and Connections', 'Turning gear, including motor, clutch and coupling (refer to', 'Filters - Cooling (SSD)', 'Cooling Fans', 'Generator Tachometer', 'Grounding', 'Thermostat', 'MOV', 'Generator', 'Static Start Device (SSD)', 'All electrical connections to control room and gas turbine generator and exciter.', 'Enclosure', 'Thyristors/SCRs', 'Motors and Controls', 'Supply breakers to isolation transformer', 'Electrical Asset']"
262,"['Gas Turbine - Turning Gear', 'Rotating Asset', 'Turning Gear', 'Drive Motor', 'Power Supply', 'Cables']",['Drive Motor'],"['Cables', 'Rotating Asset', 'Turning Gear', 'Gas Turbine - Turning Gear', 'Power Supply']","['Gas Turbine - Turning Gear', 'Power Supply', 'Drive Motor']","['Cables', 'Turning Gear', 'Rotating Asset']","['Drive Motor', 'Turning Gear', 'Power Supply', 'Cables', 'Rotating Asset']",['Gas Turbine - Turning Gear']
263,"['Heating Coil - Electric Type', 'Electrical Asset', 'Electric coils', 'Insulators', 'Mounting', 'Thermostat or other types of controllers', 'Wiring and connectors']","['Electrical Asset', 'Heating Coil - Electric Type', 'Electric coils', 'Mounting', 'Thermostat or other types of controllers', 'Wiring and connectors']",['Insulators'],"['Electric coils', 'Electrical Asset', 'Thermostat or other types of controllers', 'Mounting']","['Heating Coil - Electric Type', 'Wiring and connectors', 'Insulators']","['Insulators', 'Electrical Asset']","['Heating Coil - Electric Type', 'Wiring and connectors', 'Mounting', 'Thermostat or other types of controllers', 'Electric coils']"
264,"['Heating or Cooling Coil - Liquid Type', 'Fixed Asset', 'Coils and piping connections', 'Inlet and outlet sensors, transmitters, and controllers', 'Inlet and outlet temperature/control valves', 'Controls', 'Wiring']","['Coils and piping connections', 'Inlet and outlet sensors, transmitters, and controllers']","['Fixed Asset', 'Controls', 'Heating or Cooling Coil - Liquid Type', 'Inlet and outlet temperature/control valves', 'Wiring']","['Fixed Asset', 'Coils and piping connections']","['Controls', 'Inlet and outlet sensors, transmitters, and controllers', 'Wiring', 'Inlet and outlet temperature/control valves', 'Heating or Cooling Coil - Liquid Type']","['Inlet and outlet sensors, transmitters, and controllers', 'Inlet and outlet temperature/control valves', 'Controls', 'Wiring', 'Coils and piping connections', 'Fixed Asset']",['Heating or Cooling Coil - Liquid Type']
265,"['Heating Coil - Steam Type', 'Fixed Asset', 'Steam heating coil', 'Piping connections', 'Steam inlet sensor', 'Steam outlet sensor', 'Steam inlet transmitter', 'Steam outlet transmitter', 'Steam inlet controller', 'Steam outlet controller', 'Inlet temperature/control valve', 'Outlet temperature/control valve', 'All controls', 'Wiring']","['Steam outlet controller', 'Heating Coil - Steam Type', 'Wiring', 'All controls', 'Outlet temperature/control valve']","['Steam heating coil', 'Steam inlet sensor', 'Steam inlet transmitter', 'Steam outlet transmitter', 'Piping connections', 'Inlet temperature/control valve', 'Fixed Asset', 'Steam inlet controller', 'Steam outlet sensor']","['Steam outlet controller', 'Steam inlet sensor', 'Heating Coil - Steam Type', 'All controls', 'Inlet temperature/control valve', 'Fixed Asset', 'Steam outlet transmitter']","['Steam inlet controller', 'Steam outlet sensor', 'Wiring', 'Outlet temperature/control valve', 'Steam inlet transmitter', 'Piping connections', 'Steam heating coil']","['Steam heating coil', 'Fixed Asset', 'Piping connections', 'Inlet temperature/control valve', 'Steam inlet transmitter', 'Wiring', 'Heating Coil - Steam Type', 'Steam outlet sensor', 'All controls', 'Outlet temperature/control valve', 'Steam inlet sensor']","['Steam outlet controller', 'Steam inlet controller', 'Steam outlet transmitter']"
266,"['Heater - Liquid - Electric', 'Fixed Asset', 'Heater', 'Power cable and connection', 'Thermocouple', 'Heating element', 'Control cabinet', 'Insulation', 'Piping', 'Power supply']","['Heating element', 'Piping', 'Thermocouple']","['Control cabinet', 'Heater', 'Heater - Liquid - Electric', 'Fixed Asset', 'Power cable and connection', 'Power supply', 'Insulation']","['Piping', 'Heating element', 'Control cabinet', 'Power supply', 'Heater - Liquid - Electric', 'Insulation', 'Fixed Asset', 'Heater', 'Thermocouple']",['Power cable and connection'],"['Control cabinet', 'Heater', 'Heater - Liquid - Electric', 'Power cable and connection']","['Heating element', 'Thermocouple', 'Insulation', 'Piping', 'Power supply', 'Fixed Asset']"
267,"['Hydraulic Hose', 'Fixed Asset', 'Hydraulic hoses and connections', 'Hydraulic fluid and other hydraulic components']","['Fixed Asset', 'Hydraulic fluid and other hydraulic components']","['Hydraulic hoses and connections', 'Hydraulic Hose']",['Hydraulic hoses and connections'],"['Hydraulic fluid and other hydraulic components', 'Fixed Asset', 'Hydraulic Hose']","['Hydraulic fluid and other hydraulic components', 'Fixed Asset', 'Hydraulic Hose']",['Hydraulic hoses and connections']
268,"['Hose - Rubber - Reinforced - Medium to Large', 'Fixed Asset', 'Rubber reinforced hose with attachments or connections', 'Medium to high flow and/or pressure according to its rating flow', 'Larger than 2""', 'Couplings (e.g. camlock or Storz type)', 'The entities are not in any particular order and some of them might be repeated in the long description.']","['The entities are not in any particular order and some of them might be repeated in the long description.', 'Larger than 2""', 'Hose - Rubber - Reinforced - Medium to Large', 'Rubber reinforced hose with attachments or connections', 'Medium to high flow and/or pressure according to its rating flow']","['Couplings (e.g. camlock or Storz type)', 'Fixed Asset']",['Fixed Asset'],"['Couplings (e.g. camlock or Storz type)', 'Larger than 2""', 'Rubber reinforced hose with attachments or connections', 'Medium to high flow and/or pressure according to its rating flow', 'Hose - Rubber - Reinforced - Medium to Large', 'The entities are not in any particular order and some of them might be repeated in the long description.']",['Fixed Asset'],"['Larger than 2""', 'Couplings (e.g. camlock or Storz type)', 'The entities are not in any particular order and some of them might be repeated in the long description.', 'Rubber reinforced hose with attachments or connections', 'Hose - Rubber - Reinforced - Medium to Large', 'Medium to high flow and/or pressure according to its rating flow']"
269,"['HVAC - Air Handling Equipment', 'Facility Asset', 'Inlet and outlet isolation dampers and their actuators', 'Limitorque type actuators', 'Fan', 'Fan motor', 'Coils', 'Inlet and outlet temperature/control valves', 'All controls and wiring', 'Power supply', 'Filters', 'HEPA and charcoal filters', 'Housing and pans', 'Ductwork']","['HEPA and charcoal filters', 'Coils', 'Facility Asset', 'Ductwork', 'Limitorque type actuators', 'Inlet and outlet temperature/control valves', 'Power supply', 'All controls and wiring', 'Inlet and outlet isolation dampers and their actuators']","['HVAC - Air Handling Equipment', 'Fan motor', 'Housing and pans', 'Filters', 'Fan']","['HEPA and charcoal filters', 'Power supply', 'Inlet and outlet isolation dampers and their actuators', 'Coils', 'Housing and pans']","['Fan', 'All controls and wiring', 'Inlet and outlet temperature/control valves', 'HVAC - Air Handling Equipment', 'Filters', 'Ductwork', 'Limitorque type actuators', 'Fan motor', 'Facility Asset']","['Facility Asset', 'HEPA and charcoal filters', 'Inlet and outlet temperature/control valves', 'Housing and pans']","['Power supply', 'Limitorque type actuators', 'Filters', 'Fan motor', 'Inlet and outlet isolation dampers and their actuators', 'Ductwork', 'Coils', 'Fan', 'All controls and wiring', 'HVAC - Air Handling Equipment']"
270,"['HVAC - Damper with Isolation Louvers', 'Facility Asset', 'Louvers', 'Seals', 'Frame', 'Actuator']","['Actuator', 'Seals', 'Louvers']","['Facility Asset', 'Frame', 'HVAC - Damper with Isolation Louvers']","['Facility Asset', 'Frame', 'Seals', 'Actuator', 'Louvers']",['HVAC - Damper with Isolation Louvers'],"['Actuator', 'HVAC - Damper with Isolation Louvers', 'Frame', 'Louvers', 'Facility Asset']",['Seals']
271,"['HVAC - Dampers & Ducting', 'Facility Asset', 'Isolation dampers', 'Actuators', 'Controls', 'Limitorque type actuators', 'Valve - MOV', 'Balancing dampers', 'Turning vanes', 'Flow straighteners', 'Ducting', 'HEPA filters', 'Charcoal filters', 'By-pass dampers']","['Ducting', 'By-pass dampers']","['Controls', 'Isolation dampers', 'HEPA filters', 'Balancing dampers', 'Limitorque type actuators', 'Flow straighteners', 'Valve - MOV', 'Facility Asset', 'Charcoal filters', 'Actuators', 'Turning vanes', 'HVAC - Dampers & Ducting']","['HEPA filters', 'Ducting', 'Flow straighteners', 'Controls', 'Charcoal filters']","['Facility Asset', 'Balancing dampers', 'Actuators', 'HVAC - Dampers & Ducting', 'By-pass dampers', 'Isolation dampers', 'Valve - MOV', 'Turning vanes', 'Limitorque type actuators']","['By-pass dampers', 'Actuators', 'Ducting', 'Valve - MOV', 'Facility Asset', 'HEPA filters', 'Controls', 'Charcoal filters']","['Balancing dampers', 'Flow straighteners', 'Limitorque type actuators', 'Isolation dampers', 'Turning vanes', 'HVAC - Dampers & Ducting']"
272,"['HVAC - Duct Work', 'Facility Asset', 'Ducting', 'Access doors', 'Turning vanes and flow straighteners', 'Duct hangers', 'Filters', 'Dampers']","['Access doors', 'Filters', 'Facility Asset', 'Turning vanes and flow straighteners', 'Dampers']","['HVAC - Duct Work', 'Ducting', 'Duct hangers']","['Ducting', 'Duct hangers', 'Dampers']","['HVAC - Duct Work', 'Turning vanes and flow straighteners', 'Access doors', 'Facility Asset', 'Filters']","['Facility Asset', 'Duct hangers', 'Turning vanes and flow straighteners', 'Filters', 'Ducting', 'Dampers', 'HVAC - Duct Work']",['Access doors']
273,"['HVAC - Duct Work with Liner', 'Facility Asset', 'Ducting', 'Access doors', 'Turning vanes and flow straighteners', 'Duct hangers', 'Liner', 'Instrument wells or penetrations', 'Filters', 'Dampers']","['Filters', 'HVAC - Duct Work with Liner', 'Duct hangers', 'Dampers', 'Instrument wells or penetrations']","['Ducting', 'Turning vanes and flow straighteners', 'Liner', 'Access doors', 'Facility Asset']","['Turning vanes and flow straighteners', 'HVAC - Duct Work with Liner', 'Filters', 'Access doors', 'Ducting', 'Instrument wells or penetrations']","['Facility Asset', 'Liner', 'Duct hangers', 'Dampers']","['Turning vanes and flow straighteners', 'Duct hangers', 'Ducting', 'HVAC - Duct Work with Liner', 'Instrument wells or penetrations', 'Liner', 'Filters', 'Facility Asset']","['Dampers', 'Access doors']"
274,"['HVAC', 'Expansion Joint', 'Fabric Type', 'Facility Asset', 'Expansion Joint', 'Fabric', 'Belt', 'Vulcanized Material', 'Fasteners', 'Gaskets', 'Support Structure and Foundation', 'Attached duct work']","['Expansion Joint', 'Fabric', 'Support Structure and Foundation', 'Fasteners', 'Vulcanized Material', 'Gaskets', 'Expansion Joint', 'HVAC']","['Facility Asset', 'Fabric Type', 'Belt', 'Attached duct work']","['Fabric', 'HVAC', 'Support Structure and Foundation', 'Attached duct work', 'Gaskets', 'Fasteners', 'Facility Asset']","['Expansion Joint', 'Expansion Joint', 'Belt', 'Fabric Type', 'Vulcanized Material']","['Attached duct work', 'Expansion Joint', 'Fabric', 'Support Structure and Foundation', 'Gaskets', 'Fasteners', 'Facility Asset', 'HVAC']","['Vulcanized Material', 'Fabric Type', 'Belt', 'Expansion Joint']"
275,"['Heat Exchanger - Air Cooled', 'Fixed Asset', 'Heat exchanger nozzle to nozzle, including frame, supports and finned tubes', 'Control systems and devices, e.g. temperature and pressure control valves, safety relief valves, external vents and drains, and insulation', 'Cooling fans and motors, and their cables and controls']","['Cooling fans and motors, and their cables and controls', 'Heat Exchanger - Air Cooled']","['Control systems and devices, e.g. temperature and pressure control valves, safety relief valves, external vents and drains, and insulation', 'Heat exchanger nozzle to nozzle, including frame, supports and finned tubes', 'Fixed Asset']",['Fixed Asset'],"['Heat exchanger nozzle to nozzle, including frame, supports and finned tubes', 'Control systems and devices, e.g. temperature and pressure control valves, safety relief valves, external vents and drains, and insulation', 'Cooling fans and motors, and their cables and controls', 'Heat Exchanger - Air Cooled']","['Cooling fans and motors, and their cables and controls']","['Heat exchanger nozzle to nozzle, including frame, supports and finned tubes', 'Fixed Asset', 'Heat Exchanger - Air Cooled', 'Control systems and devices, e.g. temperature and pressure control valves, safety relief valves, external vents and drains, and insulation']"
276,"['Heat Exchanger - Feedwater Heater', 'Fixed Asset', 'Shells', 'Internal Components', 'Control Systems', 'Devices', 'Safety Relief Valves', 'Insulation', 'Main Steam Reheaters (MSR)']","['Main Steam Reheaters (MSR)', 'Control Systems', 'Shells', 'Heat Exchanger - Feedwater Heater', 'Safety Relief Valves', 'Fixed Asset']","['Insulation', 'Internal Components', 'Devices']","['Internal Components', 'Control Systems', 'Insulation', 'Devices', 'Heat Exchanger - Feedwater Heater', 'Main Steam Reheaters (MSR)']","['Fixed Asset', 'Safety Relief Valves', 'Shells']","['Main Steam Reheaters (MSR)', 'Control Systems', 'Insulation', 'Heat Exchanger - Feedwater Heater']","['Fixed Asset', 'Internal Components', 'Devices', 'Safety Relief Valves', 'Shells']"
277,"['Heat Exchanger - Feedwater Heater - High Pressure', 'Fixed Asset', 'Shells', 'Internal components', 'Stainless Steel tubes', 'Integral Coolers', 'Control systems and devices', 'Safety relief valves', 'Vents', 'Drains', 'Insulation', 'Cathodic protection (both impressed and passive)', 'Main Steam Reheaters (MSRs)', 'The entities are not in any specific order and some entities may have been mentioned more than once.']","['The entities are not in any specific order and some entities may have been mentioned more than once.', 'Shells', 'Vents', 'Insulation', 'Safety relief valves', 'Cathodic protection (both impressed and passive)', 'Heat Exchanger - Feedwater Heater - High Pressure', 'Main Steam Reheaters (MSRs)', 'Fixed Asset']","['Integral Coolers', 'Drains', 'Internal components', 'Stainless Steel tubes', 'Control systems and devices']","['Internal components', 'Safety relief valves', 'Cathodic protection (both impressed and passive)', 'Vents']","['Shells', 'Integral Coolers', 'Fixed Asset', 'Control systems and devices', 'Insulation', 'Heat Exchanger - Feedwater Heater - High Pressure', 'Main Steam Reheaters (MSRs)', 'Stainless Steel tubes', 'The entities are not in any specific order and some entities may have been mentioned more than once.', 'Drains']","['Integral Coolers', 'The entities are not in any specific order and some entities may have been mentioned more than once.', 'Internal components', 'Stainless Steel tubes', 'Control systems and devices', 'Heat Exchanger - Feedwater Heater - High Pressure', 'Drains', 'Main Steam Reheaters (MSRs)', 'Insulation', 'Fixed Asset', 'Vents']","['Safety relief valves', 'Shells', 'Cathodic protection (both impressed and passive)']"
278,"['Heat Exchanger - Feedwater Heater - High Pressure - Copper Alloy Tubes', 'Fixed Asset', 'Shells', 'Internal components', 'Copper Alloy', 'Copper Alloy tubes', 'Integral Coolers (if present)', 'Control systems and devices', 'Safety relief valves', 'Vents', 'Drains', 'Insulation', 'Cathodic protection (both impressed and passive)', 'Main Steam Reheaters (MSRs)']","['Copper Alloy', 'Drains', 'Insulation', 'Shells', 'Fixed Asset', 'Cathodic protection (both impressed and passive)', 'Vents', 'Main Steam Reheaters (MSRs)', 'Heat Exchanger - Feedwater Heater - High Pressure - Copper Alloy Tubes']","['Internal components', 'Copper Alloy tubes', 'Integral Coolers (if present)', 'Control systems and devices', 'Safety relief valves']","['Heat Exchanger - Feedwater Heater - High Pressure - Copper Alloy Tubes', 'Safety relief valves', 'Integral Coolers (if present)', 'Cathodic protection (both impressed and passive)', 'Copper Alloy tubes', 'Internal components', 'Drains']","['Shells', 'Fixed Asset', 'Vents', 'Copper Alloy', 'Main Steam Reheaters (MSRs)', 'Control systems and devices', 'Insulation']","['Drains', 'Copper Alloy', 'Copper Alloy tubes', 'Main Steam Reheaters (MSRs)', 'Safety relief valves', 'Integral Coolers (if present)']","['Fixed Asset', 'Cathodic protection (both impressed and passive)', 'Shells', 'Vents', 'Heat Exchanger - Feedwater Heater - High Pressure - Copper Alloy Tubes', 'Insulation', 'Control systems and devices', 'Internal components']"
279,"['Heat Exchanger - Feedwater Heater - High Pressure - Titanium Tube', 'Fixed Asset', 'Shells', 'Internal components', 'Titanium tubes', 'Integral Coolers (if present)', 'Control systems and devices', 'Safety relief valves', 'Vents', 'Drains', 'Insulation', 'Cathodic protection (both impressed and passive)', 'Main Steam Reheaters (MSRs)', 'The entities are not in any particular order and some entities may have additional details provided.']","['Safety relief valves', 'The entities are not in any particular order and some entities may have additional details provided.', 'Internal components', 'Control systems and devices', 'Cathodic protection (both impressed and passive)', 'Vents', 'Shells']","['Integral Coolers (if present)', 'Titanium tubes', 'Fixed Asset', 'Drains', 'Insulation', 'Heat Exchanger - Feedwater Heater - High Pressure - Titanium Tube', 'Main Steam Reheaters (MSRs)']","['Internal components', 'Drains', 'The entities are not in any particular order and some entities may have additional details provided.', 'Shells', 'Titanium tubes', 'Integral Coolers (if present)', 'Safety relief valves', 'Control systems and devices']","['Main Steam Reheaters (MSRs)', 'Cathodic protection (both impressed and passive)', 'Insulation', 'Heat Exchanger - Feedwater Heater - High Pressure - Titanium Tube', 'Fixed Asset', 'Vents']","['Main Steam Reheaters (MSRs)', 'Heat Exchanger - Feedwater Heater - High Pressure - Titanium Tube', 'Safety relief valves', 'Control systems and devices', 'Cathodic protection (both impressed and passive)', 'The entities are not in any particular order and some entities may have additional details provided.', 'Vents', 'Drains', 'Insulation', 'Titanium tubes']","['Shells', 'Integral Coolers (if present)', 'Internal components', 'Fixed Asset']"
280,"['Heat Exchanger - Feedwater Heater - Low Pressure', 'Fixed Asset', 'Shells', 'Internal components', 'Stainless Steel tubes', 'Integral Coolers', 'Control systems and devices', 'Safety relief valves', 'Vents', 'Drains', 'Insulation', 'Cathodic protection (both impressed and passive)', 'Main Steam Reheaters (MSRs)', 'The entities are not in any specific order and can be rearranged. Also, some entities can be combined if it makes sense to do so. For example, ""Control systems and devices"" and ""Safety relief valves"" could be combined into one entity']","['Drains', 'Heat Exchanger - Feedwater Heater - Low Pressure', 'Fixed Asset', 'Control systems and devices', 'Safety relief valves', 'Stainless Steel tubes', 'Insulation', 'Integral Coolers', 'Main Steam Reheaters (MSRs)']","['Shells', 'Cathodic protection (both impressed and passive)', 'The entities are not in any specific order and can be rearranged. Also, some entities can be combined if it makes sense to do so. For example, ""Control systems and devices"" and ""Safety relief valves"" could be combined into one entity', 'Internal components', 'Vents']","['Main Steam Reheaters (MSRs)', 'Heat Exchanger - Feedwater Heater - Low Pressure', 'The entities are not in any specific order and can be rearranged. Also, some entities can be combined if it makes sense to do so. For example, ""Control systems and devices"" and ""Safety relief valves"" could be combined into one entity', 'Safety relief valves', 'Insulation', 'Integral Coolers', 'Drains', 'Vents', 'Shells', 'Control systems and devices', 'Fixed Asset', 'Cathodic protection (both impressed and passive)', 'Stainless Steel tubes']",['Internal components'],"['Insulation', 'Vents', 'Drains', 'Cathodic protection (both impressed and passive)', 'Integral Coolers', 'Heat Exchanger - Feedwater Heater - Low Pressure', 'Fixed Asset', 'Stainless Steel tubes', 'The entities are not in any specific order and can be rearranged. Also, some entities can be combined if it makes sense to do so. For example, ""Control systems and devices"" and ""Safety relief valves"" could be combined into one entity', 'Control systems and devices']","['Internal components', 'Main Steam Reheaters (MSRs)', 'Safety relief valves', 'Shells']"
281,"['Heat Exchanger - Feedwater Heater - Low Pressure - Copper Alloy Tubes', 'Fixed Asset', 'Shells', 'Internal components', 'Copper Alloy', 'Copper Alloy tubes', 'Integral Coolers (if present)', 'Control systems and devices', 'Safety relief valves', 'Vents', 'Drains', 'Insulation', 'Cathodic protection (both impressed and passive)', 'Main Steam Reheaters (MSRs)']","['Safety relief valves', 'Control systems and devices', 'Cathodic protection (both impressed and passive)', 'Heat Exchanger - Feedwater Heater - Low Pressure - Copper Alloy Tubes', 'Drains', 'Fixed Asset']","['Copper Alloy', 'Vents', 'Integral Coolers (if present)', 'Main Steam Reheaters (MSRs)', 'Copper Alloy tubes', 'Internal components', 'Insulation', 'Shells']","['Copper Alloy', 'Internal components', 'Integral Coolers (if present)', 'Main Steam Reheaters (MSRs)', 'Fixed Asset', 'Drains', 'Control systems and devices', 'Cathodic protection (both impressed and passive)']","['Heat Exchanger - Feedwater Heater - Low Pressure - Copper Alloy Tubes', 'Shells', 'Vents', 'Insulation', 'Safety relief valves', 'Copper Alloy tubes']","['Vents', 'Internal components', 'Integral Coolers (if present)', 'Cathodic protection (both impressed and passive)', 'Control systems and devices', 'Insulation', 'Main Steam Reheaters (MSRs)', 'Fixed Asset']","['Copper Alloy', 'Copper Alloy tubes', 'Safety relief valves', 'Shells', 'Drains', 'Heat Exchanger - Feedwater Heater - Low Pressure - Copper Alloy Tubes']"
