,question,cluster
841,"was julius alive when jesus was a adult or born ?
",1
842,"is might and could is used as may and can ?
",3
843,"speaking of `` you can learn anything '' , is `` you might learn anything '' or `` you will learn anything '' both correct ?
",9
844,"in 2:05 he says i will have been eating cookies , does that make sense ?
",9
845,"i know i 'm probably wrong , but for some reason i feel like the words `` may '' and `` might '' pretty much do the same thing in a sentence.for example `` it may rain '' and `` it might rain '' is this true ?
",9
846,"in the sentence , `` i do not understand , '' is the word `` do '' a helping verb or a main verb ?
",3
847,"when writing an essay off of a secondary source , does one have to acknowledge its somewhat unreliability ?
",1
848,"since primary sources came from people at the event , could that possibly make primary sources more reliable than secondary sources ?
",1
849,"why do historians never agree with each other ?
",1
850,"what is the difference of an auxiliary verb vs a modal verb ?
",3
851,"at 4:34 what are brunelleschi and ghiberti doing ?
",6
852,"i am super confuse about past participle and also with 'been ' and 'being ' could some1 show me what it is or recommend a video on ka ?
",6
853,"do bears actually eat fish ?
",9
854,"which is right , '' i am he '' or `` i am him '' ?
",9
855,"what are the name of french territories occupied by germany on the franco-prussian war ?
",1
856,"why did n't america just drop nukes ?
",9
857,"now that the germans dug the trench does it mean that the people living on the german side of the trench belong to germany ?
",1
858,"did france make the charges at the german based on napoleon 's tactics ?
",1
859,"the first german army was commanded by alexander von kluck , right ?
",1
860,"how closely related are these slavic groups ?
",1
861,"are the figures surrounding the buddha representing the same person ?
",1
862,"i wonder what the paint gabriel holds in his hand is ?
",1
863,"why does eve make an effort to 'cover ' herself , but adam only covers his face ?
",1
864,"were there any slave-owners in the crowd at the time ?
",1
865,"who is the figure sprawled on the steps by himself in front of aristotle and plata , and what does he signify ?
",6
866,"why did raphael place him on team plato ?
",1
867,"is `` i like me so much '' grammatical ?
",3
868,"attending college/ged is attributive how ?
",6
869,"is n't the southern `` y'all '' used as the 2nd person plural ?
",1
870,"so a combine is always something that 's more of a painting and less of a sculpture , as is the case here , or could it be a work that more readily resembles a sculpture , but also has elements of painting ?
",1
871,"can we expect a video to be made about ai wei wei 's 'dropping a han dynasty urn ' ... perhaps the single most famous work of modern chinese art ?
",1
872,"where did slavery come from and why could n't they vote ?
",9
873,"how come the battle of leyte gulf kept japan from keeping the philippines ?
",1
874,"at 1:23 , what is a b-29 bomber ?
",6
875,"and why did n't the americans make an agreement with russia and built airfields on russian soil , since it was so near to japan ?
",1
876,"why did n't the u.s take the bonin islands or the volcano islands ?
",1
877,"what does it mean for a civilization to end ?
",1
878,"is anyone today trying to decipher the old language ?
",9
879,"if luke was a disciple of christ how was he able to draw the madonna with the child ?
",1
880,"in the case of modern art , how much input would the artist typically have in the framing process ?
",3
881,"am i mistaken or the triumphal christ was usually depicted without them ?
",6
882,"will a person who does n't have a job still be penalized ?
",9
883,"why are some people against obamacare ?
",8
884,"at 3:35 does the 100,000 stand for annual or monthly income ?
",7
885,"so in pre-existing conditions some one who had cancer would pay more or less for income taxes rather than someone with no insurance ?
",7
886,"why did sal not explain what a `` mandate '' is at the beginning of the video ?
",1
887,"why do n't we just have a system where people who ca n't afford health care or taxes put into this program that gives them the potential to get a decent job so that they can pay for it ?
",9
888,"it almost looks like the cube has replaced a cross , perhaps suggesting that the bauhaus is creating a church of creation rather than a church of devotion ?
",1
889,"is child ( children ) and person ( people ) mutant plurals ?
",9
890,"would it be hard to find an origin of a word with out studying it for a while ?
",9
891,"what is `` fube '' means ?
",9
892,"why does child become children ?
",1
893,"how can plural they still remain they when being singular ?
",3
894,"if i was saying i had one penguin would that be a proper noun because it is more specific than saying i had one animal ?
",9
895,"would `` tree frog '' be proper ?
",3
896,"what 's the difference between a common noun and a proper noun ?
",3
897,"this is kinda off topic , but why does the `` i '' always get capitalized ?
",6
898,"will boy be a propernoun or a common noun ?
",3
899,"1:54 what does the reviewer mean by velocity in art terms ?
",3
900,"so do you have to just know that `` but '' is a coordinating conjunction and `` although '' is a subordinating conjunction in order to make the distinction ?
",3
901,"why were children allowed to work in factories ?
",1
902,"how would these people find satisfaction in their work when consigned to the ranks of permanent wage laborers ?
",1
903,"is n't it the company 's fault for having underfunded pensions ?
",7
904,"also does n't the funding level get tricky with the return on investments being harder to project ?
",7
905,"at 0:30 , why is puerto rico not included in the map ?
",1
906,"how do we know about the boundaries of the persian empire ?
",1
907,"did the greeks tell us how far their empire extended ?
",1
908,"at the end of the war , germany was punished severely , but what happened to austria ?
",1
909,"how did mussolini and the fascists `` get away '' with violence ?
",1
910,"why did n't mussolini go back to milan fascio after ww1 ?
",6
911,"who is the guy on mussolini 's right with all the medals ?
",1
912,"can the comparative adjectives be used for more than two nouns , like the superlative adjectives can ?
",3
913,"i have a question - i wonder if we could say `` raul is the happy penguin '' instead of `` raul '' is a penguin ?
",9
914,"where did raul 's mohawk go ?
",1
915,"in the painting the tower seems to have it 's floor at a very high slant is this just me or was this on purpose or an accident ?
",1
916,"what is a double whole note ?
",2
917,"what music is being played at 2:44 ?
",1
918,"are n't the whole note/half note etc also called semibreve , minim , crotchet , etc ?
",6
919,"was mary 's virginity important ?
",1
920,"does anybody know how that dynamic might have worked in the middle ages ?
",9
921,"which clef does the bassoon play in ?
",6
922,"and with a double flute or a triple flute ( both of which are still existent ) would n't you get an interval or a triad ( 3 note chord ) on 1 flute ?
",2
923,"are there any irregular verbs that do n't end with a `` t '' ?
",3
924,"why not just let an african american be jim crow ?
",1
925,"in what year did abraham lincoln issued the emancipation proclamation ?
",1
926,"how long did it take segregation to completely stop ?
",9
927,"if germany and soviet union both invaded poland then why only germans are critised ?
",1
928,"did subhash chandra bose died or killed ?
",1
929,"why did mussolini and hitler hate the communists ?
",1
930,"did hitler make nazis work for him because they were scared or work for him because they agreed with him ?
",1
931,"from 2:34 what dose sino mean ?
",6
932,"at 3:40 , how militaristic was hitler 's germany originally ( after they seized power and made reforms , but before the anschluss ) ?
",1
933,"what role did holland play in wwii ?
",1
934,"why were children evacuated and where were most of them evacuated to ?
",1
935,"what was africa and south america doing during the war ?
",1
936,"why did the germans and the soviets invade poland ?
",1
937,"did nazi germany want to take over every place in the world ?
",1
938,"was india a part of world war ?
",1
939,"why would france and great britian attack cgermany , i mean did n't they want no more wars after world war 1 ?
",1
940,"why did n't the soviets turn on the nazis in the first place ?
",1
941,"is it really the japanese who started ?
",9
942,"please re-explain the `` puppet '' state ?
",1
943,"why does hitler hate jews ?
",1
944,"could some help me answer this question , suggest howw the policiy of apeeasement can be justified ?
",9
945,"what is the main cause of the world war ii ?
",1
946,"how did nepal , bhutan , india , and the solomon islands effect the war ?
",1
947,"why did world war 2 start ?
",1
948,"why did adolf hitler want to do so much harm to the whole world if his own troops were going to die in the middle of the battle ?
",1
949,"at 1:20 , why was china ever having a civil war ?
",1
950,"why is everyone attacking germany ?
",1
951,"i wonder if the world will stop having wars ?
",1
952,", the quote at 11:47 , is there an online source you know off that can let me read the whole passage ?
",9
953,"* about theology : could this sculpture , and its message , be protestant too ?
",1
954,"what are the dimensions of the statue ?
",3
955,"were n't there international laws at that time preventing the u.s. from tampering with other countries choices ?
",9
956,"what about an extra line to the `` chart '' : what was the result of the interventions ?
",0
957,"how bad were the french to the vietnamese ?
",1
958,"did n't the cold war arise from the fact that communism defined itself as a revolutionary movement whose end goal was to eliminate all other forms of government everywhere ?
",1
959,"is it true that ww1 ww2 and the cold war were all caused by the assassination of a prince i did n't even learn about in school ?
",1
960,"what is different between stuff and thing ?
",9
961,"such as , if i put a flashback in my story , but it only happened to one character who was telling the flashback to the other character , how would one smoothly transfer the story to keep it going and not sound choppy ?
",9
962,"why did germany attack neutral lithuania but not neutral switzerland ?
",1
963,"are there any videos about the treaties mentioned in this video , such as the treaty of versailles , on khan academy ?
",1
964,"how old was hitler when he committed suicide ?
",1
965,"what are the kind of people in rumania ?
",9
966,"if it was the ussr and nazi germany who invaded poland why was the ussr part of the allies instead of the axis [ even though the nazis were anticommunist ] ?
",1
967,"why do the women have to be nude ?
",1
968,"does this painting represent a contract between the couple ?
",1
969,"8:28 can we not only be a part of brahman , but also reach it in infinity 100 % ?
",6
970,"7:03 what is the structure moksha ?
",6
971,"were there key changes as the religion spread from one place to another ?
",1
972,"1:19 what makes that painting special/what is it trying to convey ?
",9
973,"why is there so many forms of art ?
",1
974,"everything has an intelligence that allows it to be , and it is all expressing itself in infinite ways , so would n't it be logical to say that not-art does n't exist ?
",9
975,"at 0:41- how is a can of soup considered art ?
",6
976,"what are keys to appreciating abstract art ?
",3
977,"what were the critical issues for the artist and his or her circle at that historical moment ?
",1
978,"does art need to have meaning ?
",9
979,"can art be seen in nature ?
",1
980,"since secondary sources are subjective and contain bias , does that mean that primary sources are more reliable and dependable than secondary sources ?
",3
981,"was egypt not a monarchy during the intermediate period ?
",1
982,"what light source was used in underground tombs and passages ?
",4
983,"how was life different in each part of egypt ?
",1
984,"did the british came in at the end ?
",1
985,"has there been any attempt to conserve this painting ?
",1
986,"there is a story that raphael put himself in the painting , but where is he ?
",1
987,"at 4:00 , why is it stated that the formal way to address someone was to use the the plural form of the subject pronoun ?
",3
988,"who agreed to having slavery ?
",1
989,"when was the end of slavery for the african american ?
",1
990,"did australia or new zealand help the u.s. against japan ?
",1
991,"did australia have any involvement in the pacific theater ?
",1
992,"if the indus river valley civilization was probably earlier , had ( probably ) more people and were technologically more advanced then all the other contemporary civilizations , why is n't it know as 'the craddle of civilization ' ?
",1
993,"who comes up with ideas of options and who makes the final decision ?
",9
994,"why has the fresco not been repaired ?
",6
995,"so , if i understand your subsidies explanation , people who primarily already are paying for their own insurance are also going to be asked to help subsidize the premium costs for people who have no insurance ?
",7
996,"for example : $ 20 000 ( 2.5 % of $ 20 000 = $ 500 ) is there any regulation for the poor population of the united states ?
",2
997,"what does `` mutant '' mean ?
",3
998,"are humans the only organism to be able to collectively learn ?
",9
999,"will it be as credible , less credible , or more credible than a primary source if the secondary source includes many different primary sources ?
",1
1000,"what are some indicators that display that a source was reliable or unreliable ?
",3
1001,"can the bias of a document be used to disprove the legitimacy of a document ?
",3
1002,"would an extremely biased primary source still be more reliable than a more neutral secondary source ?
",3
1003,"is it possible to accurately identify a source without knowing anything about the context outside of what the document itself is suggesting ?
",9
1004,"does one 's own interpretation of a primary source differ from one another 's , either from cultural perspectives , or bias ?
",1
1005,"i mean , can you also say 'you can be this tall to ride the doom coaster ' ?
",9
1006,"this is good question - what makes a great painting great , and different from a `` b '' level painting from the same period ?
",9
1007,"during the egyptian times , was anyone allowed to be buried in the tombs , or under the pyramids ?
",1
1008,"were there any gods before ra and all the other gods came ?
",1
1009,"is there a limit to the amount of prepositions you can have in a sentence ?
",3
1010,"but how can you take a garbage out , if you have n't leaved the house ?
",9
1011,"so forms of the word `` to be '' are always linking verbs but other words that link ideas together can also be linking verbs under some circumstances ?
",3
1012,"so can i say the bear were hungry ?
",9
1013,"at 0:50 , how do you actually pronounce `` schlieffen '' ?
",6
1014,"why was the trench warfare `` static '' for three years ?
",1
1015,"are troops individual men/women , or more than one ; a grouping of people ?
",1
1016,"what would happen if the schlieffen plan had worked ?
",1
1017,"at 4:17 it talks about how a flank is a weak spot ?
",6
1018,"how is schlieffen really pronounced ?
",6
1019,"what role does the dalai lama have in buddhism ?
",1
1020,"what were the pigments/paints made from ?
",6
1021,"to my western instincts , should n't we have more respect for a bodhisattva because they are working to help the rest of us become enlightened ?
",9
1022,"does the starburst like thing on mary 's left shoulder have any significance ?
",9
1023,"who asked simone martini to paint the annunciation ?
",6
1024,"why does the artist show mary reading ?
",1
1025,"is n't `` it '' the singular version of they ?
",9
1026,"did people long ago know more words then we do today ?
",9
1027,"when did slavery really start ?
",9
1028,"why where the black codes created and what did they help do for the people ?
",9
1029,"why did those two states still have troops if the rest of the states had rewritten their constitutions to acknowledge the 14th amendment ?
",1
1030,"why does hitler want to start world war ii ?
",1
1031,"did the americans destroy all of the japanese navy ?
",1
1032,"was n't the american strategy to take control of the pacific islands called `` island-hopping '' ?
",1
1033,"is there any way the i-400 submarines could have been used to turn the tide or at least greatly slow the us ?
",9
1034,"was china an american ally ?
",1
1035,"was there any treaties or diplomacy made during that period of time in the indus river civilization with others ?
",1
1036,"then what references have survived ?
",1
1037,"when was the first time artist started framing their art work ?
",1
1038,"how to decide if we should put glass on painting or not ?
",1
1039,"why not follow the traditions of the time period or the artist in choosing a frame ?
",1
1040,"does anyone know what kind of footwear this is ?
",9
1041,"maybe lack of common power ( italy was completely divided then , a bit like greek poleis in the time when `` philosophy '' began to exist ) and also closeness of ancient hereditary were ones of the reasons ?
",1
1042,"its means when the word have `` oo '' `` ous '' , we need change the word to `` ee '' and `` ic '' ?
",3
1043,"could our ability to utter words and putting them in syntax clusters , have evolved together with our ability to make tools or make art ?
",9
1044,"if humans were able to increase their lifespan , would it be possible to know everything ?
",9
1045,"are they able to decipher exactly what the animal is saying ?
",9
1046,"can writing communication be a type of collective learning ?
",9
1047,"if the farmer is about to speak , what do you think he would say ?
",9
1048,"this was painted in 1930. does anyone know if the great depression which began in oct of 1929 motivated the artist to paint this ?
",1
1049,"what is in between the extremes of the continuum ?
",6
1050,"so basically a proper noun can is a specific type of common noun ?
",3
1051,"at 2:07 , when it says `` mountains are my favorite '' , is favorite a noun ?
",6
1052,"if reinhardt did n't want to be clumped in with abstract expressionists , why was he ?
",6
1053,"are the angels wearing earrings ?
",6
1054,"what does the third man from the left have on his head ?
",1
1055,"if christ was circumcised how come christian men ( unlike jews and muslims ) are not required to be circumcised ?
",1
1056,"i know that you are not supposed to capitalize coordinating conjunctions in titles , but are you supposed to capitalize subordinating conjunctions ?
",6
1057,"had a similar system of employment under a boss for a designated wage existed somewhere else before this time period ?
",1
1058,"why was the man in the green shirt look so frightened and torn in is shirt when he see the long hair man in the center ?
",9
1059,"did italy have a king ?
",1
1060,"what were the main causes for the rise of totalitarian ideologies in europe before mussolini ?
",1
1061,"did the black shirts have anything to do with mussolini 's gain of dictator-like powers ?
",1
1062,"why is there a fingerprint on the photo ?
",5
1063,"did n't mussolini want to remake the roman empire or something like that ?
",1
1064,"was it because the people who led the country were n't doing a great job ?
",9
1065,"what sign is under cesar ?
",1
1066,"what i want to know is ; is there a suffix to mean less than ?
",9
1067,"so are there other time signatures than four/four ?
",9
1068,"is there a difference whether the stem is on top , or on the bottom ?
",3
1069,"how long will the notes be ?
",9
1070,"how long in seconds does a whole note last for , and what is that weird dripping noise in the background ?
",9
1071,"what does each note represent in terms of sound ?
",3
1072,"why did you choose to focus on those 4 sculpture ?
",1
1073,"was the woman of venice ii supposed to resemble a corpse or just an elongated woman who appeared near death ?
",1
1074,"i have a question though : why do you think the general level of skill and discpline has declined in art during the last century ?
",1
1075,"is there a reason why the artist would leave out the blood ?
",9
1076,"who was the patron of this painting ?
",1
1077,"was fragonard ’ s intention to make it look like different possible objects ?
",9
1078,"how long does a reed last ?
",1
1079,"2. how many bassoons are in an orchestra ?
",6
1080,"can the word 'dreamed ' become 'dreamt ' ?
",6
1081,"how can a country stay 'safe ' when a dictator is constantly seizing more land and killing more people ?
",1
1082,"can anyone tell me which countries were a part of axis and allied powers ?
",1
1083,"what countries were the molotov-ribbentrop pact made between ?
",1
1084,"does n't some conspiracy says hitler escaped to south america ?
",1
1085,"what happened to heinrich mueller ?
",1
1086,"at 1:42 , who were the leaders mentioned , and why were they important ?
",1
1087,"so in the end , was nazism it 's own religion or did it have something else to acclaim to ?
",1
1088,"why was appeasement doctrine so damaging in the case of adolf hitler and the munich conference ?
",1
1089,"why did hitler want to kill people ?
",9
1090,"why did japan attack the pearl harbour knowing that the us was a very strong state ?
",1
1091,"is world war 2 still going on because when the soviet union declared war on japan they did not sign a treaty ?
",1
1092,"why did n't britain react when hitler marched his troops over to the rhinelands ?
",1
1093,"what was the state of youth during ww2 ?
",1
1094,"can i ask why did the british and the americans killed the german people ?
",1
1095,"what side was the soviets on ?
",1
1096,"who were the leaders of every country ?
",1
1097,"is ww 1 a cause of ww 2 ?
",2
1098,"what was the cause of genghis khan 's death ?
",1
1099,"what stage in michelangelo 's life was the pieta made ?
",1
1100,"what was going on in society that influenced michelangelo to create this piece ?
",9
1101,"was communism the only solution to the subjugated subjects ?
",1
1102,"why did the usa influence the country of cuba ?
",1
1103,"why was the usa so concerened about communism ?
",1
1104,"and are there more communist countries now than in the past or less ?
",1
1105,"why were korea , cuba , and vitenam involed in the cold war ?
",1
1106,"in world war 2 , the u.s and russia ( a.k.a soviet union ) were allies ?
",1
1107,"where is the story of peggy ?
",1
1108,"when you are writing a story , or a book , would it be okay to switch between characters ' point of view for each chapter ?
",9
1109,"was n't the policy of appeasement followed with the hope that hitler 's aggression , if unchecked , would eventually be directed against soviet union ?
",1
1110,"around 1:00 , when sal says that the germans are not allowed to occupy the rhineland , does that mean that all people living there before the wars had to leave or does it mean that they became french ?
",1
1111,"why did adolf hitler have such a hunger for power , was there something in his past that caused that greed , or did he , being a human , fall suddenly into that greed ?
",1
1112,"nazi aggression and appeasement , how was spain and portugal able to stay neutral during wwii ?
",1
1113,"how are `` spheres of influence '' different than just partitioning and taking control of an area ?
",1
1114,"is the crown of thorns that is housed at sainte-chapelle real ?
",6
1115,"why is there so much symbolism in flemish painting ?
",1
1116,"what does the mirror in the center of the painting that has the two peoples reflection suggest about the artist 's purpose in painting the piece ?
",1
1117,"sal says that brahman and atman are genderless , so why do the vedas say `` he '' instead of `` they '' ?
",6
1118,"why people have different point of view about art ?
",9
1119,"if art is an expression of consciousness/feeling , and if there is no rational grounds on what we can decide is conscious or not , then would n't everything that is a part of existence be art ?
",9
1120,"will art become non existent ?
",1
1121,"is art a feeling and what they feel like ?
",9
1122,"why is modern art , ( sribbles ) so `` fancy '' ?
",1
1123,"art is seen in nature , but who , then , are we to identify as the artist ?
",1
1124,"is the different attitude towards both sides just because of short or long ages ?
",9
1125,"can we be considered art ?
",1
1126,"why do people look at art paintings or pictures and what does the picture mean your just looking at it ?
",9
1127,"where is that giant pie server statue ?
",5
1128,"what , then , would the money invested into artwork in socialist societies be ?
",7
1129,"can anyone point to solid research on the benefits of studying art ?
",1
1130,"do the colours of the wing have a meaning ?
",1
1131,"what do the doors in the monastery have to do with anything ?
",1
1132,"dr. zucker , help me to understand `` arabesque '' because i thought i knew what it meant to a degree , but when you used it at 1:12 what were you meaning was `` arabesque '' about this work ?
",9
1133,"is n't drawn things art ?
",9
1134,"how would abraham have a `` connection '' with god ?
",1
1135,"how many people where needed to clean and levels out the buildings after a disaster ?
",9
1136,"why is the painting so blurry ?
",6
1137,"why did upper-class women hire wet nurses ?
",1
1138,"yes , hello there my question is to anyone that would know what was the name of the artist that sculpted the gods ?
",9
1139,"what was the process of carving these statues ?
",1
1140,"how was shay 's rebellion important to the articles of confederation ?
",1
1141,"how did shays ' rebellion get resolved ?
",6
1142,"why did n't the delagates fix the problem before it escalates into shay 's rebellion ?
",9
1143,"at 5:32 , what other kinds of species died out because humans came ?
",1
1144,"getting wool from cows would n't that be leather ?
",9
1145,"are wombats friendly to humans ?
",6
1146,"is the bible classified as a primary source , or a secondary source ?
",1
1147,"if the interpretation of history constantly changes , how can we be sure that what we are taught in school is factual and will not change in a few years ?
",9
1148,"are the modal verb really agree with everything ?
",3
1149,"what important part do these sticks play in crowning christ with thorns ?
",1
1150,"what kind of traps were in pyramids ?
",6
1151,"how and why did ancient egyptians start believing in their religious system ?
",1
1152,"did the pyramids have traps-pits , loose steps , etc- to prevent anyone from invading the tombs ?
",1
1153,"can daylight be reflected by polished brass mirrors with enough intensity to be practical over the distances required ?
",3
1154,"hey david , can we use until instead of by and vice versa as both of them indicate a precise ending ?
",9
1155,"could `` the bear is eating fish '' be both a linking and action verb ?
",9
1156,"why did germany declare war on france in the first place ?
",1
1157,"how was the war back then ?
",1
1158,"was the german blitzkrieg strategy in world war ii based upon the schlieffen plan at all ?
",1
1159,"how many people are in a troop ?
",1
1160,"what year was the battle of the marne ?
",1
1161,"at 2:15 , why is the plan called `` plan 17 '' ?
",1
1162,"can anyone give me an example of what a flank would be on a human being ?
",1
1163,"what was italy 's role in the conflict ?
",1
1164,"why did n't the german first army just take paris and just go right past it ?
",1
1165,"is belgium any bigger ( in area ) today than it is in the first map sal shows us ?
",1
1166,"roosevelt 's inaugural address the place that this quote comes from , or did someone else say it first ?
",1
1167,"how can i truly make sure the document i am examining is either a primary or secondary source ?
",9
1168,"how does fdr explain the effects of the great depression ?
",9
1169,"is it just me , or can `` will '' be used as a non-modal verb as well ?
",3
1170,"let me ask you guys , is there a limit to how many modal verbs are in a sentence ?
",9
1171,"do we know why someone wrote the rosseta stone ?
",9
1172,"at 5:20 , what were the pharaohs referred as before the new kindom ?
",6
1173,"is the nile river the only river that flows from south to north ?
",1
1174,"how many pyramids exist in egypt approximately ?
",1
1175,"how would one distinguish use of since as a conjunction versus the standard conjunction of because ?
",3
1176,"what type of grammar is the word 'like ' in the sentence : the bear smells like cinnamon ?
",9
1177,"why could n't germany `` roll '' through switzerland instead of belgium to avoid involving britain ?
",1
1178,"i mean , russia 's troop building up on the border on its western border was why germany declared war on russia , but what about france ?
",1
1179,"why did n't wilhelm ii follow the schlieffen plan ?
",1
1180,"what was belgium 's position in the war ?
",1
1181,"how much too late were the germans to realize that they could outflank the french ?
",1
1182,"germany was directly bordering france why couldnt they 'roll ' through there ?
",1
1183,"when was flanking invented anyway ?
",6
1184,"is the medium oil on wood ?
",0
1185,"since many people were illiterate during this period , would these paintings have been considered a tool to help people grasp what they have leaned orally ?
",1
1186,"@ 4:27 does oxidized silver remain silver or does oxidation convert it to a different element ?
",4
1187,"why is it that monet , picasso , degas , and van gogh are artists that everybody knows something about but artists like mary cassat , winslow homer , casper david friedrich , and rosa bonheur are just as good but less well known ( i for one had n't heard of any of them til i watched these ) ?
",1
1188,"do we have a `` fog of war '' moment with inadequate intelligence ?
",1
1189,"at 5:45 the speaker throws out a lot of art terms i do n't know , could someone explain ?
",9
1190,"why is it entitle `` the school of athens '' ?
",1
1191,"4:12 why did n't thee , thou , and ye team up to take over you ?
",6
1192,"how did the reconstruction reform america as a whole ?
",1
1193,"what was the turn of the war ?
",1
1194,"who did the japanese navy fight to get wiped out ?
",1
1195,"in what battle did the uss frankling got hit because she was very damage from being hit and still hand enough to go under her own power ?
",1
1196,"at 3:05 , sal said that b-29 bombing raids happened as early as the summer of 1944. but b-29s were n't invented until may 8th , 1945. was this just a mistake ?
",1
1197,"how is the size of the population determined ... in one area you say there were 40,000 and in another you say 4 million ?
",0
1198,"why is it that mesopotamia has this title and not the indus river valley civilization ?
",1
1199,"why urbanization in indus valley civilization happened faster than egyptian and mesopotamian civilizations ?
",1
1200,"i might just have this question bcuz i did n't watch the full video but why is n't the basic civilization that started around 7000 bce not considered the indus valley civilization ?
",1
1201,"now who painted this painting ?
",1
1202,"are there any traces of this dynasty in the current distribution of languages in india ?
",1
1203,"how do you spell the sound of i ?
",9
1204,"why is it at 0:38 when you say mouse and louse and it becomes mice and lice does n't that mean that dice is all so douse ?
",6
1205,"what came before the germanic languages and how did they form ?
",1
1206,"is `` grammatical '' a real word ?
",3
1207,"is `` we made our bed '' correct ?
",9
1208,"so , basically the grammatical number is the ability to become singular or plural ?
",3
1209,"13:16 how come animals have not come up with their own language ang also are they incapable of human speech ?
",9
1210,"so a proper noun is a name , right ?
",3
1211,"in this sentence : matthew enjoys swimming , how is swimming a common noun if it is telling what specifically matthew enjoys ?
",1
1212,"is n't it nice to have the nouns when they were ready instead of having to wait until the whole section was all complete ?
",9
1213,"how can you know what is generic and what is specific ?
",9
1214,"are species of animals such as a `` hylidae '' frog common or proper ?
",3
1215,"i just notice that there are very small holes on the painting , particularly on 2:04. how is this occurred ?
",1
1216,"is the wiid used linden wood ?
",1
1217,"what is an example of another `` gesamtkuntswerk '' ?
",3
1218,"is there an mnemonic for subordinating conjunctions similar to fanboys ?
",6
1219,"what is the definition of a coordinating conjunction ?
",3
1220,"how original is this painting ?
",1
1221,"i can vaguely recall maybe some cruel egyptian hieroglyphs , and some minotaurs , but these torturing figures and excrement seem like a big leap forward to me in terms of painting from the imagination ... who or what influenced bosch to paint this painting full of torture and gross things ?
",9
1222,"what is the difference between the `` market revolution '' and the `` industrial revolution '' ?
",0
1223,"is the situation in ct similar to that described for illinois ?
",1
1224,"was the picture of mussolini of when he gathered followers for his fascist party ?
",1
1225,"did the people of italy want to follow mussolini or did they do it just because he was there leader ?
",1
1226,"how could i animate an ellipse along multiple bezier curves with code ?
",3
1227,"how do you make the craters jump ?
",9
1228,"is non-developers ( normal people ) are able to make characters like unreal engine ?
",9
1229,"can we split the pixel ?
",3
1230,"how does one become art conservationist ?
",1
1231,"at 1:20 , what does the inscription say is the recorded weight in silver ?
",2
1232,"why are drawings made with pencil slowly becoming completely irrelevant ?
",9
1233,"is the firebird ballet still regularly performed , or is it more common to hear just the suite alone ?
",1
1234,"by using this formula can we create graphic program in c ?
",3
1235,"do we know if the romans made any others on such a high scale , or were there just those two ?
",1
1236,"how do you make a lamp look younger ?
",9
1237,"who was stravinsky and why is it called firebird ?
",6
1238,"how do animators make the character 's lips sync with what they 're saying ?
",9
1239,"what if you want to tell a story from the perspective of multiple characters ?
",9
1240,"what is the transformation in all kinds of stories ?
",9
1241,"would dory be an antagonist ?
",6
1242,"are n't goosebumps just a side effect of your skin contracting ?
",8
1243,"so does it not make sense to say that what is being shown in the video via the monitor is not really the absolute complete perceivable colour space for the eye ?
",9
1244,"what makes the introduction sound melancholy ?
",9
1245,"i mean like do certain colors make us have feelings ?
",9
1246,"what does the world look like for color blind people ?
",9
1247,"why are so many adults afraid of change ?
",9
1248,"does anyone know who the sculpture was of ?
",9
1249,"so is it just me or does this work have a distinctly jackson pollock feel in the middle there ?
",9
1250,"when he became an apprentice does that mean he will also get an education there ?
",1
1251,"is it really true that the earth 's axis has a constant tilt ?
",9
1252,"at 2:35 , how does the earth go behind the sun ?
",4
1253,"precisely speaking , how is computer programming linked to binary numbers ( the language of a computer ) to produce software for computers and other electronic devices ?
",5
1254,"will the slow reduction in genetic diversity pose a threat to evolution as darwin said variation is the cause of evolution ?
",3
1255,"how do you keep your creativity in check ?
",9
1256,"if a mother had a c section delivery with epidural anesthesia , would it retard the letdown reflex and thus affect the mother 's milk production ?
",6
1257,"do women need to get a breast exam ?
",9
1258,"how many children in america do you think have malnutrition ?
",9
1259,"1:12 - i thought that the solo was french horn ... was it english horn ?
",1
1260,"is it possible that houses in the future will be fluid and waved ?
",9
1261,"where do i go for `` interactive you should try '' at the end to make my own grass ?
",9
1262,"how do i use parabolic arcs during animation design ?
",3
1263,"why must we use parabolic for the grass ?
",3
1264,"would it be better to approximate using a cone with the top chopped off , or is there a way i could get an exact answer ?
",3
1265,"instance confirmation requires every instance to be observed before you can really make a conclusion right ?
",9
1266,"how can i know something about autocad ?
",6
1267,"what is a color wheel ?
",3
1268,"what are the anabolic effects of insulin ?
",8
1269,"which macronutrient is the most important or are the all equally important ?
",9
1270,"why does supernova create all the elements in the periodic table ?
",3
1271,"at 3:50 , is n't peppermint a beta agonist ?
",6
1272,"what is the exact definition of thermal radiation ?
",4
1273,"at 1:56 , why does the wire look bigger at the end that was heated than the cold end ?
",9
1274,"i have a normal camera , and i was wondering if a normal camera picks up on thermal radiation ?
",4
1275,"how does water transfer electricity from 1 wire to another in the solid state ?
",4
1276,"who is deborah 's mother ?
",1
1277,"what 's the point of knowinng acceleration , if acceleration is constant due to gravity ?
",4
1278,"sir is each deformer adjusted manually or it can be programmed ?
",6
1279,"is the programing software used blender or maya ?
",5
1280,"do you think i have to learn to draw better in order to write better stories ?
",9
1281,"does every story come from a personal experience ?
",9
1282,"where does a photograph ends and a photoillustration stars ?
",1
1283,"so , this is a bit of an odd question but if you eat moldy bread , will it kill the bacteria in your mouth ?
",9
