wonum,description,persongroup,crewworkgroup,assetnum,asset description,location,location description,status,worktype,siteid,problemcode,taskid,task description,desc_and_uni_task,label_description
R10503110,Lighting repairs on Crane 1 & 4,ELECTRICAL,ELE,C10915658,"DECK CRANE 1, KBC STBD FWD",361.DCR1,"DECK CRANE 1, KBC STBD FWD",CLOSE,CM,1020.0,PTF,10.0,"Investigate fault on Crane 1, Nav light cct fed from CB F52. Suspect nav light on top of windsock post, also check slip rings in post.","Lighting repairs on Crane 1 & 4. Investigate fault on Crane 1, Nav light cct fed from CB F52. Suspect nav light on top of windsock post, also check slip rings in post.. Investigate fault with Crane 1 windsock light, this could be same cause as nav light. Check slip rings in post.. Free off the boom tip flood light on Crane 4, as it is stuck in the wrong position",Power or signal failure. Power or signal loss in electrical system
R10507051,Hydra Racker Isolator Barrier from main arm Guide feedback error,ELECTRICAL,ELT,C1019753,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS2,"VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER",CLOSE,CM,2318.0,PTF,10.0,Troubleshooting on main arm Guide feedback error,Hydra Racker Isolator Barrier from main arm Guide feedback error. Troubleshooting on main arm Guide feedback error,Power or signal failure. Power or signal loss in electrical system
R10516247,BOP Software Save and Compile at End of Well. Test Connection for BOP#2,ELECTRICAL,ELT,C10933835,NOV SHAFFER BOP CONTROL COMMON,332.BCS2,BOP 2 CONTROL SYSTEM,CLOSE,CM,1010.0,PDE,10.0,"During trouble shooting of BOP1 Blue Pod it was found that PLC Program 
had not been compiled. Due to this we did not compile during operations.
See Email from BOP controls (unable to attach) Needs done from EWS terminal","BOP Software Save and Compile at End of Well. Test Connection for BOP#2. During trouble shooting of BOP1 Blue Pod it was found that PLC Program 
had not been compiled. Due to this we did not compile during operations.
See Email from BOP controls (unable to attach) Needs done from EWS terminal. Backup program at end of well and then complete compile of program.. Confirm that we can access PLC program on BOP 2 without compile message",Parameter deviation. A parameter is not controlled as set
R10514095,WARNING CONDITION MONITORING VALUE,MECHANICAL,TSL,C1046027,NOV 14-P-220 MUD PUMP,325.MP1,MUD PUMP 1,CLOSE,CM,2290.0,PDE,10.0,"WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR","WARNING CONDITION MONITORING VALUE. WARNING!
	The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
	ACTION:
	Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections and select PASS.
	If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.  
	If the failure will require complete overhaul or continued operation with increased monitoring until overhaul, select FAIL.  
Selecting fail will generate an overhaul work order for this equipment.  The scheduling of the overhaul will be decided after review with the Technical Services team. Input the values in the meter readings tab of the completion info section of this work order for meter CBM-WAR",Parameter deviation. A parameter is not controlled as set
R10513917,REPLACE CHOKE AND KILL HOSE ON LMRP BOP# 1,WELL CONTROL,SSS,C10911685,CHOKE AND KILL JUMPER HOSE,331.LMRP1.210,"HOSE, JUMPER, KILL SIDE, LMRP 1",CLOSE,CM,1010.0,ELK,10.0,"REPLACE THE KILL HOSE AND PUT ALL INFO AGAIST THIS WO.

PICS AND SN FROM NEW HOSE MUST BE ADDED","REPLACE CHOKE AND KILL HOSE ON LMRP BOP# 1. REPLACE THE KILL HOSE AND PUT ALL INFO AGAIST THIS WO.

PICS AND SN FROM NEW HOSE MUST BE ADDED. Replace Choke and Kill Jumper hoses on LMRP.
Remove SN 81471 and place back in shipping crate to send back to contitech.

Install SN 81472 on kill side and SN 81473 on Choke side. 

Torque Woodco #6 Hub clamp to 686 ft/lb

Torque flange 1.125"" studs to 386 ft/lb.",External leak. Accidentally lose or admit contents.  Source of leak is visible.
R10513864,WARNING CONDITION MONITORING VALUE,MECHANICAL,TSL,C1045805,NOV SSGD 1000 DRAWWORKS,312.DW2,"DRAWWORKS, AUX WELL",CLOSE,CM,2290.0,PDE,10.0,"WARNING!
The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
ACTION:
Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections.
If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.","WARNING CONDITION MONITORING VALUE. WARNING!
The equipment inspection performed contains a value deviating from the system defined limits for the connected meter reading.
	
ACTION:
Verify the registered value is correct.  If the value is not correct or routine maintenance can resolve the deviation, make the necessary corrections.
If the registered value is correct and beyond routine maintenance, it is mandatory to contact Technical Services with the findings and review the immediate actions required.",Parameter deviation. A parameter is not controlled as set
R10515313,Replace Crane 2 Brake on/off valve cable,ELECTRICAL,ELT,C1018202,"CONTROLS, DECK CRANE 2, AHC KBC PORT FWD",361.DCR2.300,"CONTROLS, DECK CRANE 2, AHC KBC PORT FWD",CLOSE,CM,2317.0,PTF,10.0,Replace damaged cable on brake 2 on/off valve,Replace Crane 2 Brake on/off valve cable. Replace damaged cable on brake 2 on/off valve,Power or signal failure. Power or signal loss in electrical system
R10511351,Main Hydratong replace die retainer set screw,MECHANICAL,MCH,C10915630,NOV HYDRATONG ARN-270- MAIN WELL,342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,1020.0,DFM,10.0,During visual inspection found set screw on the die holder damage,Main Hydratong replace die retainer set screw. During visual inspection found set screw on the die holder damage,Deformed. Not having the normal or natural shape or form
R10506290,Change valves in the pit room,DRILLING,TLP,C1019422,MUD LOW PRESSURE PIPING,325.MPIP3,MUD LP VALVE & PIPING SUCTION,CLOSE,CM,2318.0,DFM,10.0,change valves in the pit room,Change valves in the pit room. change valves in the pit room,Deformed. Not having the normal or natural shape or form
R10510965,Request pressure transmitter for Aux TDX Torque wrench pressure,ELECTRICAL,ELT,C10915074,NOV TDX 1250 TOP DRIVE - AUX WELL,313.TD2,"TOP DRIVE, AUX WELL",CLOSE,CM,1020.0,PTF,10.0,Replace Pressure transmitter N161 - Clamp pressure transmitter on TDX Aux,"Request pressure transmitter for Aux TDX Torque wrench pressure. Replace Pressure transmitter N161 - Clamp pressure transmitter on TDX Aux. WARRANTY - NOV PN# 17756723-001 - VALVE, SOLENOID",Power or signal failure. Power or signal loss in electrical system
R10511352,Aux Hydratong problem in the make-up function,MECHANICAL,MCH,C10915631,NOV HYDRATONG ARN-270- AUX WELL,342.HRN2,"IRON ROUGHNECK 2, AUX WELL, HYDRATONG",CLOSE,CM,1020.0,FTS,10.0,AD reported that Aux Hydratong  was not doing the make-up function. Required to check proper full calibration.,Aux Hydratong problem in the make-up function. AD reported that Aux Hydratong  was not doing the make-up function. Required to check proper full calibration.,Failure to start or function on demand. The equipment does not start or function on demand
R10508634,Install missing door control manifold plugs on EPR doors,WELL CONTROL,SSS,C1019495,"NOV SHAFFER NXT 14"" PIPE RAM",331.BOP1.340,"UPPER TRIPLE, EXTRA PIPE RAM (EPR), BOP 1",CLOSE,CM,2318.0,DFM,10.0,Purchase and install missing door control manifold plugs on EPR doors,Install missing door control manifold plugs on EPR doors. Purchase and install missing door control manifold plugs on EPR doors,Deformed. Not having the normal or natural shape or form
R10513160,Replace damaged Doghouse  door lock Aux side,MECHANICAL,MCH,C10911284,DRILLERS CABIN,311.DC1.100,DRILLERS CABIN,CLOSE,CM,1010.0,FRC,10.0,Replace door lock mechanism on Doghouse Aux side door.,Replace damaged Doghouse  door lock Aux side. Replace door lock mechanism on Doghouse Aux side door.,Fractured. Fractured or damaged and no longer in one piece 
R10515685,MW Hydratong Lower Clamp Open / Close not opening,ELECTRICAL,ELT,C10911910,NOV HYDRATONG ARN-270,342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,1010.0,FTO,10.0,"342A 1-XV101
LOWER CLAMP 011/0FF 
Solenoid To be replaced","MW Hydratong Lower Clamp Open / Close not opening. 342A 1-XV101
LOWER CLAMP 011/0FF 
Solenoid To be replaced",Failure to open. The equipment does not open on demand
R10516627,ORDER SKID PLATES FOR BOP 2 (UBSR),WELL CONTROL,SSS,C10933786,"NOV SHAFFER NXT 22"" BLIND SHEAR RAM",331.BOP2.310,"UPPER TRIPLE, UPPER BLIND SHEAR RAM (UBSR), BOP 2",CLOSE,CM,1010.0,TRD,10.0,ORDER SKID PLATE FOR BOP 2 UBSR CAVITY,ORDER SKID PLATES FOR BOP 2 (UBSR). ORDER SKID PLATE FOR BOP 2 UBSR CAVITY,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10516628,ORDER SKID PLATES FOR BOP 2 (UPPER PIPE RAM),WELL CONTROL,SSS,C10933801,"NOV SHAFFER NXT 14"" PIPE RAM",331.BOP2.340,"LOWER TRIPLE, UPPER PIPE RAM (UPR), BOP 2",CLOSE,CM,1010.0,TRD,10.0,ORDER SKID PLATE FOR BOP 2 UPR CAVITY,ORDER SKID PLATES FOR BOP 2 (UPPER PIPE RAM). ORDER SKID PLATE FOR BOP 2 UPR CAVITY,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10517281,"*FOLLLOW UP, MPI* 12M AHC KNUCKLE BOOM CRANE MARINE INSPECTION",MECHANICAL,TSL,C10911951,"DECK CRANE 2, AHC KBC PORT FWD",361.DCR2,"DECK CRANE 2, AHC KBC PORT FWD",CLOSE,CM,1010.0,CRK,10.0,"Work with NDT inspectors to carry out MPI Inspection on repaired area inside Crane Pedestal. 

2 X inboard corner doubler plates on stiffener at transition area from square to Pedestal cylinder.

Areas were left without paint for to allow for further inspection. If no indications noticed then paint can be applied.

If indication recorded notify TSL for further investigation.

NDT report to be uploaded to edocs and attached.","*FOLLLOW UP, MPI* 12M AHC KNUCKLE BOOM CRANE MARINE INSPECTION. Work with NDT inspectors to carry out MPI Inspection on repaired area inside Crane Pedestal. 

2 X inboard corner doubler plates on stiffener at transition area from square to Pedestal cylinder.

Areas were left without paint for to allow for further inspection. If no indications noticed then paint can be applied.

If indication recorded notify TSL for further investigation.

NDT report to be uploaded to edocs and attached.",Cracked. Damaged and showing lines on the surface from having split without coming apart
R10518116,Replace damaged finger on upper fingerboard,MECHANICAL,MCH,C10911904,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,1010.0,FTC,10.0,Replace damaged finger due to not closing on demand.,Replace damaged finger on upper fingerboard. Replace damaged finger due to not closing on demand.,Failure to close. The equipment does not close on demand
R10518115,"Change out Visco Jet, High pressure & Adapter body on Acoustic Acc ROV gauge",WELL CONTROL,SSE,C10933884,NOV SHAFFER ROV PANEL,332.BCS2.920,"PANELS, ROV, LOWER BOP, BOP 2 CONTROL",CLOSE,CM,1010.0,PLU,10.0,Replace Visco Jet and Adapter for Acoustic Accumulator ROV pressure gauge.,"Change out Visco Jet, High pressure & Adapter body on Acoustic Acc ROV gauge. Replace Visco Jet and Adapter for Acoustic Accumulator ROV pressure gauge.",Plugged. A constraint in flow conductor
R10518151,Replace IBOP operating crank.,MECHANICAL,MCH,C10911357,"IBOP, UPPER, TOP DRIVE, AUX WELL",313.TD2.210,"IBOP, UPPER, TOP DRIVE, AUX WELL",CLOSE,CM,1010.0,CRK,10.0,Fit new crank to Upper IBOP,Replace IBOP operating crank.. Fit new crank to Upper IBOP,Cracked. Damaged and showing lines on the surface from having split without coming apart
R10520891,Replace push button on Cyberspace C chair,ELECTRICAL,ELT,C10911283,NOV CYBERBASE DRILLING CONTROL,311.DC1,DRILLING CONTROL,CLOSE,CM,1010.0,STU,10.0,Replace sticky push button on Cyber chair C,Replace push button on Cyberspace C chair. Replace sticky push button on Cyber chair C,Stuck. Unable to move
R10509202,KBC 3 SHEAVE DAMAGE- ORDERING NEW SHEAVE FOR INSTALL,MARINE,MSL,C10915714,CRANE LIFTING APPLIANCES,361.MLA1,CRANE LIFTING APPLIANCES,CLOSE,CM,1020.0,CRK,10.0,Oder Boom tip sheave to replace damage one on KBC 3 + 1spare,KBC 3 SHEAVE DAMAGE- ORDERING NEW SHEAVE FOR INSTALL. Oder Boom tip sheave to replace damage one on KBC 3 + 1spare. install new sheave and leave the other for stock. NIKHAM TO PERFORM CRANE INSPECITON,Cracked. Damaged and showing lines on the surface from having split without coming apart
R10510374,Aux HT Faulty Soln valve Upper Clamp,ELECTRICAL,ELT,C10915631,NOV HYDRATONG ARN-270- AUX WELL,342.HRN2,"IRON ROUGHNECK 2, AUX WELL, HYDRATONG",CLOSE,CM,1020.0,FTC,10.0,"we have intermittent on Upper clamp, checked and measured on the coil 28ohm, all seem good, Mech checked on pressure reading 59bar also good.
it was different to pinpoint the problem.
Finally the coil failed, we able to measure the 24vdc all the way to the HT tool, to the very last Jbox. able to measure 24V, but when check ohm, the coil is open on CLAMP function.
replaced and tested all good","Aux HT Faulty Soln valve Upper Clamp. we have intermittent on Upper clamp, checked and measured on the coil 28ohm, all seem good, Mech checked on pressure reading 59bar also good.
it was different to pinpoint the problem.
Finally the coil failed, we able to measure the 24vdc all the way to the HT tool, to the very last Jbox. able to measure 24V, but when check ohm, the coil is open on CLAMP function.
replaced and tested all good",Failure to close. The equipment does not close on demand
R10510863,To replace defective joystick from Cyber Base A Main Well.,ELECTRICAL,ELT,C10915003,NOV CYBERBASE DRILLING CONTROL,311.DC1,DRILLING CONTROL,CLOSE,CM,1020.0,CRK,10.0,Replace defective joystick.,To replace defective joystick from Cyber Base A Main Well.. Replace defective joystick.. Perform joystick test.,Cracked. Damaged and showing lines on the surface from having split without coming apart
R10510961,REPLACEMENT OF BULLSEYE ON BOP #2,WELL CONTROL,SSS,C10954454,NOV SHAFFER BOP FRAME,331.BOP2,LOWER BOP STACK 2,CLOSE,CM,1020.0,CRK,10.0,REMOVE OLD SLOP INDICATORS AND FIT NEW ONES.,REPLACEMENT OF BULLSEYE ON BOP #2. REMOVE OLD SLOP INDICATORS AND FIT NEW ONES.,Cracked. Damaged and showing lines on the surface from having split without coming apart
R10514375,Upper fingerboard casing stand,MECHANICAL,MCH,C10915624,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,1020.0,FTO,10.0,Upper fingerboard casing row 25 slot 1 not working properly.,Upper fingerboard casing stand. Upper fingerboard casing row 25 slot 1 not working properly.,Failure to open. The equipment does not open on demand
R10516125,Replace Faulty Salunda Sensors,ELECTRICAL,ELT,C10915624,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,1020.0,FTO,10.0,Replace faulty salunda sensors on Fingerboard and Bellyboard,Replace Faulty Salunda Sensors. Replace faulty salunda sensors on Fingerboard and Bellyboard,Failure to open. The equipment does not open on demand
R10517059,Replace dies on Main TDS Tool Joint Breaker,DRILLING,DRL,C1045839,"PIPEHANDLER, TOP DRIVE, MAIN WELL",313.TD1.300,"PIPEHANDLER, TOP DRIVE, MAIN WELL",CLOSE,CM,2290.0,TRD,10.0,Replace worn die on TJB,Replace dies on Main TDS Tool Joint Breaker. Replace worn die on TJB,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10518993,Replace 2 cap seals on MP # 3. ICN # 1502312,DRILLING,TLP,C1046043,NOV 14-P-220 MUD PUMP,325.MP3,MUD PUMP 3,CLOSE,CM,2290.0,TRD,10.0,Replace 2 cap seals on MP # 3. ICN # 1502312,Replace 2 cap seals on MP # 3. ICN # 1502312. Replace 2 cap seals on MP # 3. ICN # 1502312,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10517017,Replace hydraracker guide head pipe pusher roller,MECHANICAL,MCH,C1018151,NOV HYDRARACKER IV VERTICAL PIPE HANDLER,341.PRS1,"VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER",CLOSE,CM,2317.0,TRD,10.0,replace pipe pusher roller due to severe wear. Worn half way through pin,Replace hydraracker guide head pipe pusher roller. replace pipe pusher roller due to severe wear. Worn half way through pin,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10518382,M&M: Replace washed out HP Mud Pump #4 bleed line flange,MECHANICAL,TSL,C1040408,MUD STANDPIPE MANIFOLD,325.MPIP2.300,"MUD STANDPIPE MANIFOLD, MUD PUMP ROOM, MUD SYSTEM PIPING",CLOSE,CM,2317.0,TRD,10.0,"Bleed line flange at 2-1/16"" valve washed out during drilling. The flange is between the valve and the pump discharge. It is located on the STBD mezz deck in the pump room. Flange has been temporarily repaired with ProPoxy 20.","M&M: Replace washed out HP Mud Pump #4 bleed line flange. Bleed line flange at 2-1/16"" valve washed out during drilling. The flange is between the valve and the pump discharge. It is located on the STBD mezz deck in the pump room. Flange has been temporarily repaired with ProPoxy 20.. M&M welder to replace the flange. Will require pre and post heat treatment. Quote for the work is attached as well as Isometric drawings of the line with all specifications.",Thickness reduction. Reduction in thickness measurement  or  loss of material
R10519477,BOP1 Blue Pod Receptacle Assembly,WELL CONTROL,SSS,C1017880,"RECEPTACLE, FEMALE, BLUE POD, BOP 1 CONTROL",332.BCS1.127,"RECEPTACLE, FEMALE, BLUE POD, BOP 1 CONTROL",CLOSE,CM,2317.0,FTO,10.0,"While splitting the LMRP from the BOP after EDS wet fire, the blue pod gripper failed to unlock and pulled the trailer ball out of the receptacle. Upon troubleshooting, we found the CCSV armature stuck which caused the gripper to remain locked.

Repair trailer ball (shear pins) and repair CCSV.","BOP1 Blue Pod Receptacle Assembly. While splitting the LMRP from the BOP after EDS wet fire, the blue pod gripper failed to unlock and pulled the trailer ball out of the receptacle. Upon troubleshooting, we found the CCSV armature stuck which caused the gripper to remain locked.

Repair trailer ball (shear pins) and repair CCSV.",Failure to open. The equipment does not open on demand
R10507007,"Pull, Inspect, Re-Install Retract Cylinder Hinge Pins Aux Dolly",MECHANICAL,MCH,C1019217,"DOLLY, RETRACTABLE, TOP DRIVE, AUX WELL",313.TD2.800,"DOLLY, RETRACTABLE, TOP DRIVE, AUX WELL",CLOSE,CM,2318.0,STU,10.0,Lock out equipment and stage tools required for pin extraction and install.,"Pull, Inspect, Re-Install Retract Cylinder Hinge Pins Aux Dolly. Lock out equipment and stage tools required for pin extraction and install.. Drain Hydraulic pressure from Retract Cylinders on Aux Top Drive Dolly.. Remove retainer plate fastener. Set up and press out retract cylinder clevis hinge pin.. Clean and inspect Hinge Pins and Sleeve Bearings in Clevis- Buff and check pin for trueness with spare sleeve bearing.. Verify grease hoses and passages are clear from manifold to the sleeve bearings installed in the clevis.. Lubricate pin, line up retainer plate landing and fastener holes and press pin into frame and clevis.. Install retainer plate, hex head bolts and washers. Lock wire.. Grease clevis and verify grease is visible from both sides of clevis.. All above to be done on all Dolly Retract Cylinders. One at the time.. De-isolate the unit, bleed air from hydraulics and test the equipment.",Stuck. Unable to move
R10507368,Repair IBOP solenoid valve main TDX,ELECTRICAL,ESV,C1019193,NOV TDX 1250 TOP DRIVE MAIN WELL,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,2318.0,FTO,10.0,Investigate and repair issue (fuse blown) with open signal on IBOP solenoid,Repair IBOP solenoid valve main TDX. Investigate and repair issue (fuse blown) with open signal on IBOP solenoid,Failure to open. The equipment does not open on demand
R10509131,Maintenance & Repairs on Lower Fingerboard - May/2023,MECHANICAL,MCH,C1019750,NOV FINGERBOARD,341.FB1,"FINGER BOARD, UPPER",CLOSE,CM,2318.0,FTO,10.0,W/O Created to track Maintenance on Fingerboard April 2023 replacement. Spares and Labor hours should be completed and reported. On the end of de Month W/O must be closed and create new one,Maintenance & Repairs on Lower Fingerboard - May/2023. W/O Created to track Maintenance on Fingerboard April 2023 replacement. Spares and Labor hours should be completed and reported. On the end of de Month W/O must be closed and create new one,Failure to open. The equipment does not open on demand
R10516846,MAIN HYDRATONG TORQUE CENTER BOLTS SPRING REPLACEMENT- CASSETE B,MECHANICAL,MSV,C1021591,NOV HYDRATONG MPT-200,342.HRN1,"IRON ROUGHNECK 1, MAIN WELL, HYDRATONG",CLOSE,CM,2321.0,TRD,10.0,MAIN HYDRATONG TROQUE CENTER BOLTS SPRING REPLACEMENT.,MAIN HYDRATONG TORQUE CENTER BOLTS SPRING REPLACEMENT- CASSETE B. MAIN HYDRATONG TROQUE CENTER BOLTS SPRING REPLACEMENT.,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10517941,HPU TRIPLEX PUMP 1 SUCTION STRAINER LID O-RING DAMAGED,WELL CONTROL,SSE,C1021386,NOV SHAFFER BOP HPU TRIPLEX PUMP,332.BCSS1.210,"PUMP, HPU TRIPLEX 1, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2321.0,FRC,10.0,Replace damaged o-ring on suction strainer basket lid,HPU TRIPLEX PUMP 1 SUCTION STRAINER LID O-RING DAMAGED. Replace damaged o-ring on suction strainer basket lid,Fractured. Fractured or damaged and no longer in one piece 
R10518616,MAINS DW HYD BRAKE TANK FILTRATION,MECHANICAL,MSV,C1020749,NOV SSGD 1250 DRAWWORKS,312.DW1,"DRAWWORKS, MAIN WELL",CLOSE,CM,2321.0,LFS,10.0,MAINS DW HYD BRAKE TANK FILTRATION,MAINS DW HYD BRAKE TANK FILTRATION. MAINS DW HYD BRAKE TANK FILTRATION,Lubrication or Fluid Sampling. Unsatisfactory fluid or lubrication sample
R10519483,"2 Position Switch Key Exchange. Function _ ""JOYSTICK ON"" / Troca do Switch Key de 2 Posi̵̤es. Fun̤̣o _ ""JOYSTICK ON""",ELECTRICAL,ELE,C1021647,NOV OC3932KCE KNUCKLE BOOM CRANE,361.DCR3,"DECK CRANE 3, KBC STBD AFT",CLOSE,CM,2321.0,FTC,10.0,"2 Position Switch Key Exchange. Function _ ""JOYSTICK ON"" / Troca do Switch Key de 2 Posi̵̤es. Fun̤̣o _ ""JOYSTICK ON"".","2 Position Switch Key Exchange. Function _ ""JOYSTICK ON"" / Troca do Switch Key de 2 Posi̵̤es. Fun̤̣o _ ""JOYSTICK ON"". 2 Position Switch Key Exchange. Function _ ""JOYSTICK ON"" / Troca do Switch Key de 2 Posi̵̤es. Fun̤̣o _ ""JOYSTICK ON"".",Failure to close. The equipment does not close on demand
R10519607,Diverter overboard valve interlock function failure during function test,WELL CONTROL,SSS,C11080699,"VALVE, AIR CONTROL, PORT OVERBOARD OPEN, DIVERTER CONTROL PANEL",334.DIV1.411,"VALVES & REGULATORS, PANEL, DIVERTER CONTROL SYSTEM",CLOSE,CM,2321.0,FTC,10.0,"Diverter overboard valve interlock function failure during function test.
while closing the diverter packer the Port overboard valve remaing opened during the test and did not return to close position with the diverter packer selected to open","Diverter overboard valve interlock function failure during function test. Diverter overboard valve interlock function failure during function test.
while closing the diverter packer the Port overboard valve remaing opened during the test and did not return to close position with the diverter packer selected to open",Failure to close. The equipment does not close on demand
R10501231,Directional Control Valve for RCD HPU Service,MPD,MPD,C1023194,MPD HYDRAULIC POWER UNIT,339.MPD1.1100,"HYDRAULIC POWER UNIT (HPU), MPD",CLOSE,CM,2326.0,STU,10.0,Order new Directional Control Valves for the RCD HPU Service.,"Directional Control Valve for RCD HPU Service. Order new Directional Control Valves for the RCD HPU Service.. Once the Valves arrive on board, remove and replace the old ones with the new valves.",Stuck. Unable to move
R10508602,Drawworks FWD - TSMP Hydraulic Power unit  analysis report - January 2023 / CM tracking report.,MECHANICAL,ATSL,C1022612,"HYDRAULIC POWER UNIT (HPU), DRAWWORKS AW FWD",312.DW2.300,"HYDRAULIC POWER UNIT (HPU), DRAWWORKS AW FWD",CLOSE,CM,2326.0,LFS,10.0,"Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking for damage in breathers, seals, possible sources of outside contamination and inspect the condition of relevant
components. We also recommend evaluating the best moment, according to the on board conditions, to drain/dehydrate the
compartment or replace the lubricant load and doing the filtering (microfiltration) of the system until obtaining the required
cleanliness level (ISO 4406 17/15/12 or better)""","Drawworks FWD - TSMP Hydraulic Power unit  analysis report - January 2023 / CM tracking report.. Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking for damage in breathers, seals, possible sources of outside contamination and inspect the condition of relevant
components. We also recommend evaluating the best moment, according to the on board conditions, to drain/dehydrate the
compartment or replace the lubricant load and doing the filtering (microfiltration) of the system until obtaining the required
cleanliness level (ISO 4406 17/15/12 or better)""",Lubrication or Fluid Sampling. Unsatisfactory fluid or lubrication sample
R10508605,Pipe handling crane - TSMP Bearing grease  analysis report - January 2023 / CM tracking report.,MARINE,MSL,C1023353,NOV OC1891 PDPH CRANE,361.PDPH1,PIPE DECK PIPE HANDLING CRANE (PDPH),CLOSE,CM,2326.0,LFS,10.0,"Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking the lubrication management plans to evaluate the relubrication of the component. We also recommend that when relubrication the equipment, check for wear points and external contamination""","Pipe handling crane - TSMP Bearing grease  analysis report - January 2023 / CM tracking report.. Proceed as it follows within the TMSP report which is transcribed below:

"" We recommend checking the lubrication management plans to evaluate the relubrication of the component. We also recommend that when relubrication the equipment, check for wear points and external contamination""",Lubrication or Fluid Sampling. Unsatisfactory fluid or lubrication sample
R10509457,MCH - AW TOP DRIVE GEAR OIL AND FILTER CHANGE,MECHANICAL,ATSL,C1022629,NOV TDX 1250 TOP DRIVE,313.TD1,"TOP DRIVE, MAIN WELL",CLOSE,CM,2326.0,LFS,10.0,Replace MW TDX Gearbox oil and filter,MCH - AW TOP DRIVE GEAR OIL AND FILTER CHANGE. Replace MW TDX Gearbox oil and filter,Lubrication or Fluid Sampling. Unsatisfactory fluid or lubrication sample
