,text
85,A ELECTRICAL technician performed a work on the industrial asset:NOV CYBERBASE DRILLING CONTROL on the location DRILLING CONTROL. The work order description is: Monitor replacement on warranty claim. The equipment failed and is described as: Power or signal loss in electrical system
86,"A ELECTRICAL technician performed a work on the industrial asset:DECK CRANE 1, KBC STBD FWD on the location DECK CRANE 1, KBC STBD FWD. The work order description is: Investigate fault on Crane 1, Nav light cct fed from CB F52. Suspect nav light on top of windsock post, also check slip rings in post.. The equipment failed and is described as: Power or signal loss in electrical system"
87,"A ELECTRICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, AUX WELL, HYDRARACKER. The work order description is: Troubleshooting on main arm Guide feedback error. The equipment failed and is described as: Power or signal loss in electrical system"
88,"A ELECTRICAL technician performed a work on the industrial asset:CONTROLS, DECK CRANE 2, AHC KBC PORT FWD on the location CONTROLS, DECK CRANE 2, AHC KBC PORT FWD. The work order description is: Replace damaged cable on brake 2 on/off valve. The equipment failed and is described as: Power or signal loss in electrical system"
89,"A ELECTRICAL technician performed a work on the industrial asset:NOV TDX 1250 TOP DRIVE - AUX WELL on the location TOP DRIVE, AUX WELL. The work order description is: Replace Pressure transmitter N161 - Clamp pressure transmitter on TDX Aux. The equipment failed and is described as: Power or signal loss in electrical system"
90,A ELECTRICAL technician performed a work on the industrial asset:NOV CYBERBASE DRILLING CONTROL on the location DRILLING CONTROL. The work order description is: Replace sticky push button on Cyber chair C. The equipment failed and is described as: Unable to move
91,"A MECHANICAL technician performed a work on the industrial asset:DOLLY, RETRACTABLE, TOP DRIVE, AUX WELL on the location DOLLY, RETRACTABLE, TOP DRIVE, AUX WELL. The work order description is: Lock out equipment and stage tools required for pin extraction and install.. The equipment failed and is described as: Unable to move"
92,"A MPD technician performed a work on the industrial asset:MPD HYDRAULIC POWER UNIT on the location HYDRAULIC POWER UNIT (HPU), MPD. The work order description is: Order new Directional Control Valves for the RCD HPU Service.. The equipment failed and is described as: Unable to move"
93,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER NXT 22"" BLIND SHEAR RAM on the location UPPER TRIPLE, UPPER BLIND SHEAR RAM (UBSR), BOP 2. The work order description is: ORDER SKID PLATE FOR BOP 2 UBSR CAVITY. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
94,"A WELL CONTROL technician performed a work on the industrial asset:NOV SHAFFER NXT 14"" PIPE RAM on the location LOWER TRIPLE, UPPER PIPE RAM (UPR), BOP 2. The work order description is: ORDER SKID PLATE FOR BOP 2 UPR CAVITY. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
95,"A DRILLING technician performed a work on the industrial asset:PIPEHANDLER, TOP DRIVE, MAIN WELL on the location PIPEHANDLER, TOP DRIVE, MAIN WELL. The work order description is: Replace worn die on TJB. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
96,A DRILLING technician performed a work on the industrial asset:NOV 14-P-220 MUD PUMP on the location MUD PUMP 3. The work order description is: Replace 2 cap seals on MP # 3. ICN # 1502312. The equipment failed and is described as: Reduction in thickness measurement / loss of material
97,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRARACKER IV VERTICAL PIPE HANDLER on the location VERTICAL PIPE HANDLER, MAIN WELL, HYDRARACKER. The work order description is: replace pipe pusher roller due to severe wear. Worn half way through pin. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
98,"A MECHANICAL technician performed a work on the industrial asset:MUD STANDPIPE MANIFOLD on the location MUD STANDPIPE MANIFOLD, MUD PUMP ROOM, MUD SYSTEM PIPING. The work order description is: Bleed line flange at 2-1/16"" valve washed out during drilling. The flange is between the valve and the pump discharge. It is located on the STBD mezz deck in the pump room. Flange has been temporarily repaired with ProPoxy 20.. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
99,"A MECHANICAL technician performed a work on the industrial asset:NOV HYDRATONG MPT-200 on the location IRON ROUGHNECK 1, MAIN WELL, HYDRATONG. The work order description is: MAIN HYDRATONG TROQUE CENTER BOLTS SPRING REPLACEMENT.. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
100,"A MECHANICAL technician performed a work on the industrial asset:MHWIRTH LOWER GUIDING ARM on the location LOWER GUIDE ARM (UGA), VPH. The work order description is: LGA arm is showing signs of play in the main pivot pin on the LGA. There are installed bushing that are most likely worn out. Bondura bolt must be removed and bushings replaced.. The equipment failed and is described as: Reduction in thickness measurement / loss of material"
